name,age,income,city,has_car
Alice,29,1621.0,Barcelona,unknown
Hank,21,2067.0,Bilbao,unknown
Grace,51,2718.0,Madrid,yes
Eve,54,1997.0,Valencia,no
Eve,58,2277.0,Zaragoza,yes
Ivy,67,2853.0,Seville,unknown
Alice,44,2221.0,Valencia,yes
Grace,61,2681.0,Barcelona,yes
Charlie,55,3774.0,Madrid,yes
Alice,33,2363.0,Barcelona,no
Frank,62,3443.0,Madrid,yes
Jack,22,2947.0,Madrid,no
Hank,49,1326.0,Madrid,no
Hank,67,0,Barcelona,no
Hank,52,1833.0,Madrid,no
Hank,66,1816.0,-,yes
Frank,unknown,2428.0,Madrid,yes
Bob,46,2992.0,Valencia,yes
Ivy,59,3504.0,Bilbao,no
Eve,52,2747.0,Madrid,yes
Frank,64,2143.0,Valencia,no
Diana,43,834.0,Bilbao,no
Bob,54,2556.0,Seville,no
Jack,40,2521.0,Barcelona,no
Hank,unknown,2646.0,Bilbao,yes
Grace,25,4185.0,Seville,yes
Eve,32,3492.0,Valencia,no
Ivy,24,3128.0,Madrid,yes
Frank,55,1730.0,Madrid,no
Eve,unknown,2090.0,Bilbao,unknown
Eve,35,-500,Barcelona,yes
Charlie,61,1880.0,Madrid,yes
Alice,38,2900.0,Valencia,yes
Frank,27,2786.0,Zaragoza,yes
Ivy,21,1629.0,Madrid,unknown
Alice,31,3457.0,Madrid,unknown
Ivy,unknown,2582.0,Valencia,yes
Ivy,47,1117.0,Seville,unknown
Charlie,69,2459.0,Valencia,yes
Grace,30,2725.0,Bilbao,unknown
Bob,37,3278.0,Madrid,no
Hank,28,2230.0,Barcelona,yes
Hank,39,3162.0,Barcelona,no
Diana,48,2650.0,Barcelona,no
Alice,60,1448.0,Valencia,yes
Jack,38,-,Bilbao,yes
Eve,58,-,Barcelona,no
Ivy,51,3457.0,Bilbao,yes
Grace,34,2758.0,Madrid,yes
Hank,65,3697.0,Seville,yes
Hank,41,3345.0,Valencia,no
Bob,27,-500,Valencia,yes
Diana,68,1771.0,Madrid,no
Eve,65,3885.0,-,yes
Eve,unknown,2929.0,Zaragoza,yes
Alice,65,2191.0,Bilbao,no
Frank,67,1965.0,Bilbao,yes
Bob,61,2705.0,Madrid,no
Hank,32,1163.0,Valencia,yes
Grace,51,3060.0,Barcelona,no
Jack,46,1737.0,Bilbao,yes
Hank,51,2796.0,Barcelona,no
Diana,50,-,Barcelona,yes
Jack,51,2288.0,Seville,no
Eve,45,1894.0,Madrid,yes
Diana,54,-,Bilbao,yes
Jack,46,4012.0,Barcelona,no
Diana,20,3608.0,Seville,yes
Alice,21,2784.0,Bilbao,no
Eve,67,2480.0,Seville,no
Hank,65,-,Barcelona,no
Bob,49,3404.0,Madrid,no
Eve,28,1836.0,Madrid,unknown
Bob,59,2438.0,Madrid,no
Grace,27,1042.0,Seville,yes
Eve,38,3398.0,Barcelona,no
Diana,36,4152.0,Barcelona,yes
Charlie,20,2564.0,Barcelona,yes
Frank,60,800.0,Zaragoza,yes
Grace,45,-,Madrid,yes
Jack,35,1777.0,Barcelona,yes
Eve,45,1969.0,Valencia,yes
